City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
9,Kanganpur,PK,72.88,clear sky,30.7663,74.1231,Bismillah Hotel
29,Nusaybin,TR,69.39,clear sky,37.0778,41.2178,Aydinlar Hotel
36,Luena,AO,67.05,light rain,-11.7833,19.9167,Hotel Kandamba
42,Saint-Philippe,RE,72.95,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
53,San Quintin,MX,67.48,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
58,Ismailia,EG,69.76,clear sky,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
72,Boende,CD,71.65,broken clouds,-0.2167,20.8667,
86,Saint George,US,72.07,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
93,Cotacachi,EC,72.95,light rain,0.3,-78.2667,La Mirage Garden Hotel And Spa
116,Matiri,TZ,70.0,broken clouds,-10.75,34.9,
123,Geraldton,AU,72.01,light intensity shower rain,-28.7667,114.6,Broadwater Mariner Resort
144,Lompoc,US,71.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
154,Mount Isa,AU,71.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
156,Mahon,ES,66.76,clear sky,39.8885,4.2658,ARTIEM Capri
157,Fukue,JP,65.84,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
171,Lipari,IT,66.78,clear sky,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
186,Rio Gallegos,AR,66.25,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
187,Carlsbad,US,68.97,overcast clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
190,Ponta Delgada,PT,72.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
192,Beloha,MG,70.74,few clouds,-25.1667,45.05,
203,Suluq,LY,72.23,overcast clouds,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
208,Ribeira Grande,PT,70.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
209,Muros,ES,66.83,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
211,Faya,SA,68.11,clear sky,18.3851,42.4509,املاك خالد الشعشوع
213,Merrill,US,69.98,clear sky,45.1805,-89.6835,Prairie Motel
219,Kirkuk,IQ,71.89,clear sky,35.4681,44.3922,تل عبدالعزيز
223,Bhiwani,IN,70.38,clear sky,28.7833,76.1333,Gaur Guest House
233,Kondagaon,IN,71.28,light rain,19.6,81.6667,AYAN MOTER
234,Mackay,AU,71.04,overcast clouds,-21.15,149.2,International Lodge Motel
238,Sterling,US,70.48,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
243,Saint-Joseph,RE,71.96,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
248,Dharampur,IN,72.32,clear sky,20.5333,73.1833,Motel 11
251,Seondha,IN,72.59,light rain,26.1578,78.7797,रामोराम मंदिर (पं. लक्ष्मी कांत दीक्षित)
255,Constitucion,CL,66.04,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
262,Vao,NC,71.69,light rain,-22.6667,167.4833,Hotel Kou-Bugny
287,Mareeba,AU,70.45,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
288,Gat,IL,72.28,clear sky,31.61,34.7642,OlusHome
316,Mount Darwin,ZW,72.16,overcast clouds,-16.7725,31.5838,
325,Mansa,IN,70.25,clear sky,29.9833,75.3833,STARiHOTEL Mansa
329,Mwinilunga,ZM,70.39,light rain,-11.7358,24.4293,Kwakuwahi Lodge
335,Camacha,PT,70.56,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
343,Messina,IT,66.43,few clouds,38.1933,15.5497,Hotel Touring
350,Valdivia,CL,66.29,clear sky,-39.8142,-73.2459,Hostal Entre Rios
357,Chepen,PE,67.06,overcast clouds,-7.2167,-79.45,Hospedaje Real
