,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
0,Luderitz,-26.6481,15.1594,74.48,24,100,17.05,NA,overcast clouds
1,Wagar,16.1525,36.2032,89.24,25,0,12.33,SD,clear sky
2,Rikitea,-23.1203,-134.9692,75.13,71,6,18.39,PF,clear sky
3,Cape Town,-33.9258,18.4232,60.12,64,0,5.01,ZA,clear sky
4,Ushuaia,-54.8,-68.3,55.02,57,40,31.07,AR,scattered clouds
5,Punta Arenas,-53.15,-70.9167,55.51,41,20,29.93,CL,few clouds
6,Port Alfred,-33.5906,26.891,57.43,65,0,3.87,ZA,clear sky
7,Khatanga,71.9667,102.5,29.89,98,100,9.37,RU,light snow
8,Razole,16.4833,81.8333,78.57,90,100,2.28,IN,overcast clouds
9,Kanganpur,30.7663,74.1231,72.88,67,0,5.5,PK,clear sky
10,Tuktoyaktuk,69.4541,-133.0374,21.2,93,90,12.66,CA,overcast clouds
11,Albany,42.6001,-73.9662,53.17,70,74,1.99,US,broken clouds
12,Edd,13.9297,41.6925,87.62,66,12,4.52,ER,few clouds
13,Maldonado,-34.6667,-54.9167,61.23,61,25,9.73,UY,scattered clouds
14,Altay,47.8667,88.1167,38.7,46,18,8.95,CN,few clouds
15,Hermanus,-34.4187,19.2345,59.9,69,0,11.03,ZA,clear sky
16,Bluff,-46.6,168.3333,45.57,84,100,18.99,NZ,light rain
17,Savannah Bight,16.45,-85.85,86.05,73,78,6.42,HN,broken clouds
18,Kapaa,22.0752,-159.319,78.48,80,40,5.99,US,light rain
19,Contamana,-7.3333,-75.0167,93.06,40,84,3.27,PE,broken clouds
20,Berkak,62.825,10.0118,32.43,73,100,6.6,NO,overcast clouds
21,Atuona,-9.8,-139.0333,77.92,76,62,21.21,PF,light rain
22,Puerto Ayora,-0.7393,-90.3518,78.76,80,79,9.89,EC,broken clouds
23,Pevek,69.7008,170.3133,7.59,82,100,3.83,RU,overcast clouds
24,Kyzyl-Mazhalyk,51.1333,90.6,32.67,63,100,1.7,RU,overcast clouds
25,Busselton,-33.65,115.3333,59.04,83,100,15.99,AU,light rain
26,Airai,-8.9266,125.4092,62.64,88,54,1.41,TL,broken clouds
27,Bambous Virieux,-20.3428,57.7575,74.21,78,75,12.66,MU,broken clouds
28,Mataura,-46.1927,168.8643,43.65,99,100,4.63,NZ,light rain
29,Nusaybin,37.0778,41.2178,69.39,49,0,4.61,TR,clear sky
30,Westport,41.1415,-73.3579,61.02,70,90,1.01,US,overcast clouds
31,Port Elizabeth,-33.918,25.5701,55.69,82,20,0.0,ZA,few clouds
32,Piacabucu,-10.4056,-36.4344,81.0,68,100,11.25,BR,overcast clouds
33,Sao Joao Da Barra,-21.6403,-41.0511,75.29,86,92,11.3,BR,overcast clouds
34,Colares,38.7992,-9.4469,75.45,68,0,1.99,PT,clear sky
35,Lumut,4.2323,100.6298,80.96,89,40,0.0,MY,scattered clouds
36,Luena,-11.7833,19.9167,67.05,87,100,2.33,AO,light rain
37,Petropavlovka,50.6114,105.3196,25.5,90,11,2.8,RU,few clouds
38,Borborema,-21.6197,-49.0736,77.43,66,55,10.96,BR,broken clouds
39,Qaanaaq,77.484,-69.3632,27.32,69,100,11.65,GL,overcast clouds
40,Cidreira,-30.1811,-50.2056,64.0,68,99,8.72,BR,overcast clouds
41,Vaini,-21.2,-175.2,73.56,88,40,9.22,TO,scattered clouds
42,Saint-Philippe,-21.3585,55.7679,72.95,81,42,15.39,RE,scattered clouds
43,Misratah,32.3754,15.0925,73.6,56,100,11.95,LY,overcast clouds
44,Chuy,-33.6971,-53.4616,62.67,73,44,8.1,UY,scattered clouds
45,Dikson,73.5069,80.5464,31.26,99,100,9.15,RU,light snow
46,Castro,-24.7911,-50.0119,57.97,95,100,5.14,BR,overcast clouds
47,Palu,-0.8917,119.8707,75.43,94,40,2.71,ID,scattered clouds
48,Hilo,19.7297,-155.09,77.61,80,75,6.91,US,broken clouds
49,Hobart,-42.8794,147.3294,48.06,85,90,3.0,AU,overcast clouds
50,Tamale,9.4008,-0.8393,79.81,77,97,7.34,GH,light rain
51,Bereda,43.2686,-7.5406,64.15,74,95,1.05,ES,overcast clouds
52,Lebu,-37.6167,-73.65,56.84,70,0,18.79,CL,clear sky
53,San Quintin,30.4833,-115.95,67.48,60,48,13.02,MX,scattered clouds
54,Bozhou,33.8772,115.7703,53.29,72,100,4.61,CN,overcast clouds
55,Vanimo,-2.6741,141.3028,78.04,89,66,5.95,PG,broken clouds
56,Chokurdakh,70.6333,147.9167,-14.19,100,97,4.83,RU,overcast clouds
57,Ugoofaaru,5.6667,73.0,82.51,74,100,13.98,MV,overcast clouds
58,Ismailia,30.6043,32.2723,69.76,64,0,7.16,EG,clear sky
59,Tomatlan,19.9333,-105.25,89.2,62,2,5.77,MX,clear sky
60,Talnakh,69.4865,88.3972,34.41,99,100,15.9,RU,light rain
61,Yellowknife,62.456,-114.3525,34.41,81,75,11.5,CA,broken clouds
62,Hithadhoo,-0.6,73.0833,81.97,72,100,7.7,MV,overcast clouds
63,Victoria,22.2855,114.1577,77.32,78,100,1.01,HK,light rain
64,Smidovich,48.6,133.8167,24.85,53,0,7.07,RU,clear sky
65,Tasiilaq,65.6145,-37.6368,24.28,51,100,3.98,GL,overcast clouds
66,Lubango,-14.9172,13.4925,64.26,43,4,5.19,AO,clear sky
67,Bethel,41.3712,-73.414,57.88,75,75,1.99,US,light rain
68,Maniitsoq,65.4167,-52.9,33.4,36,0,4.88,GL,clear sky
69,Kavieng,-2.5744,150.7967,82.44,77,15,13.31,PG,few clouds
70,Lewistown,40.5992,-77.5714,62.42,53,55,12.66,US,broken clouds
71,Bitung,1.4451,125.1824,77.85,79,83,4.9,ID,broken clouds
72,Boende,-0.2167,20.8667,71.65,97,84,1.83,CD,broken clouds
73,Esperance,-33.8667,121.9,58.84,75,100,7.38,AU,overcast clouds
74,Kloulklubed,7.0419,134.2556,83.7,75,100,9.73,PW,overcast clouds
75,Kalmunai,7.4167,81.8167,81.07,78,99,1.19,LK,overcast clouds
76,Prince Rupert,54.3161,-130.3201,46.09,70,1,3.44,CA,clear sky
77,Haines Junction,60.7522,-137.5108,19.35,86,92,0.0,CA,overcast clouds
78,Saldanha,-33.0117,17.9442,59.05,74,3,20.38,ZA,clear sky
79,Sandakan,5.8402,118.1179,80.28,94,99,1.99,MY,overcast clouds
80,Lazaro Cardenas,17.9583,-102.2,85.14,70,81,4.83,MX,broken clouds
81,Astana,51.1801,71.446,30.15,80,21,6.71,KZ,mist
82,Arraial Do Cabo,-22.9661,-42.0278,73.26,78,75,11.5,BR,broken clouds
83,Bafoulabe,13.8065,-10.8321,87.69,34,2,3.91,ML,clear sky
84,Moerai,-22.4333,-151.3333,76.86,87,100,18.57,PF,overcast clouds
85,Pangai,-19.8,-174.35,77.11,69,40,19.57,TO,scattered clouds
86,Saint George,37.1041,-113.5841,72.07,24,20,13.0,US,few clouds
87,Thompson,55.7435,-97.8558,51.96,66,75,3.44,CA,broken clouds
