City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Itarema,-2.9248,-39.9167,81.68,77,100,17.56,BR,2021-10-15 19:58:03
1,Saskylakh,71.9167,114.0833,6.39,97,100,6.93,RU,2021-10-15 19:58:03
2,Avarua,-21.2078,-159.775,78.85,65,0,3.44,CK,2021-10-15 19:58:04
3,Albany,42.6001,-73.9662,77.72,76,69,2.95,US,2021-10-15 19:55:08
4,Puerto Ayora,-0.7393,-90.3518,76.96,80,94,11.7,EC,2021-10-15 19:58:04
5,Bredasdorp,-34.5322,20.0403,53.28,77,100,14.27,ZA,2021-10-15 19:58:05
6,Rikitea,-23.1203,-134.9692,74.48,73,34,5.26,PF,2021-10-15 19:58:05
7,Ushuaia,-54.8,-68.3,51.46,46,75,17.27,AR,2021-10-15 19:58:05
8,Maldonado,-34.6667,-54.9167,58.39,56,100,14.58,UY,2021-10-15 19:54:26
9,Horstel,52.3167,7.5833,48.74,75,50,5.75,DE,2021-10-15 19:58:06
10,Hobart,-42.8794,147.3294,52.02,84,75,4.0,AU,2021-10-15 19:57:31
11,Ribeira Grande,38.5167,-28.7,68.4,77,20,0.0,PT,2021-10-15 19:58:06
12,Jamestown,42.097,-79.2353,76.01,76,75,7.0,US,2021-10-15 19:56:46
13,Constitucion,-35.3333,-72.4167,57.15,55,0,19.13,CL,2021-10-15 19:58:07
14,Castro,-24.7911,-50.0119,64.62,99,100,2.98,BR,2021-10-15 19:58:07
15,Lebu,-37.6167,-73.65,52.81,61,16,14.45,CL,2021-10-15 19:58:08
16,Yellowknife,62.456,-114.3525,44.42,87,75,9.22,CA,2021-10-15 19:58:08
17,Itoman,26.1247,127.6694,78.82,83,20,4.61,JP,2021-10-15 19:58:08
18,Upernavik,72.7868,-56.1549,22.28,63,19,7.87,GL,2021-10-15 19:58:09
19,Bluff,-46.6,168.3333,45.1,72,98,13.24,NZ,2021-10-15 19:58:09
20,Veydelevka,50.1521,38.4492,44.58,54,75,3.22,RU,2021-10-15 19:58:10
21,Kapaa,22.0752,-159.319,80.58,70,16,1.99,US,2021-10-15 19:58:10
22,Mataura,-46.1927,168.8643,45.21,71,100,3.38,NZ,2021-10-15 19:58:10
23,Takoradi,4.8845,-1.7554,78.85,87,55,8.01,GH,2021-10-15 19:57:46
24,Port Hardy,50.6996,-127.4199,55.58,82,75,12.66,CA,2021-10-15 19:58:11
25,Qaanaaq,77.484,-69.3632,22.75,93,100,8.86,GL,2021-10-15 19:58:11
26,East London,-33.0153,27.9116,65.7,78,100,15.17,ZA,2021-10-15 19:58:12
27,Sao Lourenco Do Oeste,-26.3592,-52.8511,60.28,97,100,5.77,BR,2021-10-15 19:58:12
28,Tasiilaq,65.6145,-37.6368,28.96,61,1,4.99,GL,2021-10-15 19:53:52
29,Mahebourg,-20.4081,57.7,71.89,88,75,10.36,MU,2021-10-15 19:58:13
30,Anadyr,64.75,177.4833,5.5,92,0,11.18,RU,2021-10-15 19:58:13
31,Dandong,40.1292,124.3947,38.41,37,59,18.12,CN,2021-10-15 19:58:13
32,Thompson,55.7435,-97.8558,39.36,87,90,13.8,CA,2021-10-15 19:58:00
33,Cururupu,-1.8283,-44.8683,84.0,66,100,4.99,BR,2021-10-15 19:58:14
34,New Norfolk,-42.7826,147.0587,51.66,73,100,7.0,AU,2021-10-15 19:58:14
35,Miri,4.4148,114.0089,78.94,89,20,1.14,MY,2021-10-15 19:58:15
36,Cherskiy,68.75,161.3,-1.64,100,92,3.13,RU,2021-10-15 19:56:17
37,Carnarvon,-24.8667,113.6333,68.07,77,40,9.22,AU,2021-10-15 19:58:15
38,Blumberg,47.8406,8.5333,47.89,89,97,4.09,DE,2021-10-15 19:58:15
39,Eureka,40.8021,-124.1637,69.67,75,3,5.01,US,2021-10-15 19:58:16
40,Port Macquarie,-31.4333,152.9167,57.16,63,0,7.76,AU,2021-10-15 19:58:16
41,Cayenne,4.9333,-52.3333,87.84,80,40,5.01,GF,2021-10-15 19:58:16
42,Port Arthur,38.8,121.2667,44.82,44,100,31.54,CN,2021-10-15 19:58:17
43,Mumford,5.2618,-0.759,78.58,87,22,7.85,GH,2021-10-15 19:58:17
44,Roma,43.2128,-75.4557,75.96,79,100,1.7,US,2021-10-15 19:58:18
45,Zyryanka,65.75,150.85,14.02,93,98,7.38,RU,2021-10-15 19:58:18
46,Khatanga,71.9667,102.5,10.67,92,100,4.52,RU,2021-10-15 19:58:18
47,Hermanus,-34.4187,19.2345,54.9,73,45,18.25,ZA,2021-10-15 19:58:19
48,Waterboro,43.5356,-70.7151,69.12,86,99,1.01,US,2021-10-15 19:58:19
49,Atuona,-9.8,-139.0333,77.79,78,34,17.96,PF,2021-10-15 19:58:19
50,Hilo,19.7297,-155.09,82.27,85,90,12.66,US,2021-10-15 19:58:20
51,Vestmanna,62.1564,-7.1664,43.72,87,90,13.8,FO,2021-10-15 19:58:20
52,Bethel,41.3712,-73.414,80.1,69,5,5.68,US,2021-10-15 19:53:34
53,Airai,-8.9266,125.4092,61.79,86,28,1.57,TL,2021-10-15 19:58:21
54,San Patricio,28.017,-97.5169,93.92,56,29,3.58,US,2021-10-15 19:58:21
55,Port Elizabeth,-33.918,25.5701,61.11,82,90,17.27,ZA,2021-10-15 19:58:21
56,Kaitangata,-46.2817,169.8464,47.8,71,100,5.01,NZ,2021-10-15 19:53:26
57,Georgetown,5.4112,100.3354,84.13,88,20,3.0,MY,2021-10-15 19:58:22
58,Butaritari,3.0707,172.7902,82.04,71,100,12.1,KI,2021-10-15 19:58:22
59,Pagudpud,18.5616,120.7868,77.97,86,72,13.42,PH,2021-10-15 19:58:23
60,Nanortalik,60.1432,-45.2371,40.21,62,92,8.81,GL,2021-10-15 19:58:23
61,Peniche,39.3558,-9.3811,69.62,88,75,7.47,PT,2021-10-15 19:58:24
62,Pevek,69.7008,170.3133,11.48,95,89,4.25,RU,2021-10-15 19:58:24
63,Karasjok,69.4719,25.5112,33.91,94,100,8.52,NO,2021-10-15 19:58:24
64,Ilulissat,69.2167,-51.1,18.19,81,5,6.67,GL,2021-10-15 19:58:25
65,Honavar,14.2833,74.45,79.12,87,97,0.72,IN,2021-10-15 19:58:25
66,Tiksi,71.6872,128.8694,9.61,93,99,10.98,RU,2021-10-15 19:58:25
67,Marawi,7.9986,124.2928,64.65,90,100,3.11,PH,2021-10-15 19:56:58
68,Houma,29.5958,-90.7195,90.0,77,94,3.31,US,2021-10-15 19:58:26
69,Dikson,73.5069,80.5464,27.45,91,100,4.38,RU,2021-10-15 19:58:26
70,Luderitz,-26.6481,15.1594,56.71,74,20,19.6,NA,2021-10-15 19:58:26
71,Sebeta,8.9167,38.6167,51.49,62,1,4.41,ET,2021-10-15 19:58:27
72,College,64.8569,-147.8028,30.2,79,90,0.0,US,2021-10-15 19:58:27
73,Bambous Virieux,-20.3428,57.7575,71.85,88,75,10.36,MU,2021-10-15 19:58:28
74,Inta,66.0317,60.1659,40.35,81,100,5.1,RU,2021-10-15 19:58:28
75,Melilla,35.2937,-2.9383,66.4,63,0,4.61,ES,2021-10-15 19:58:28
76,Hambantota,6.1241,81.1185,80.22,82,100,15.95,LK,2021-10-15 19:55:35
77,Punta Arenas,-53.15,-70.9167,51.91,46,40,43.73,CL,2021-10-15 19:58:29
78,Pontianak,-0.0333,109.3333,76.98,100,40,2.3,ID,2021-10-15 19:58:29
79,Gongzhuling,43.5008,124.8198,30.11,44,2,15.48,CN,2021-10-15 19:58:30
80,Gat,31.61,34.7642,74.39,60,88,5.84,IL,2021-10-15 19:58:01
81,Iqaluit,63.7506,-68.5145,29.93,74,20,1.99,CA,2021-10-15 19:58:30
82,Ancud,-41.8697,-73.8203,57.42,80,95,10.89,CL,2021-10-15 19:58:30
83,Praia,14.9215,-23.5087,79.34,73,20,17.27,CV,2021-10-15 19:58:31
84,Codrington,-38.2667,141.9667,52.21,78,100,17.76,AU,2021-10-15 19:58:31
85,Nome,64.5011,-165.4064,31.44,75,24,6.55,US,2021-10-15 19:58:31
86,Henties Bay,-22.116,14.2845,58.86,86,2,14.18,NA,2021-10-15 19:58:32
87,Bengkulu,-3.8004,102.2655,75.25,86,94,3.74,ID,2021-10-15 19:58:32
88,Horta,38.5333,-28.6333,67.64,77,20,0.0,PT,2021-10-15 19:58:32
89,Sur,22.5667,59.5289,82.08,63,0,1.74,OM,2021-10-15 19:58:33
90,Faanui,-16.4833,-151.75,80.31,76,2,18.01,PF,2021-10-15 19:58:33
91,Petrolina,-9.3986,-40.5008,96.85,23,20,11.5,BR,2021-10-15 19:58:33
92,Tuatapere,-46.1333,167.6833,46.13,73,100,7.31,NZ,2021-10-15 19:58:33
93,Lagoa,39.05,-27.9833,68.72,63,36,3.62,PT,2021-10-15 19:58:34
